==== HIVE-21344 ====
2	False	service/src/java/org/apache/hive/service/auth/TSetIpAddressProcessor.java
3	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/parser/ExpressionTree.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/util/HiveStrictManagedMigration.java
==== HIVE-21939 ====
0	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/exec/Utilities.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/Driver.java
3	False	cli/src/java/org/apache/hadoop/hive/cli/CliDriver.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/plan/MoveWork.java
==== HIVE-21941 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/PlanModifierForASTConv.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/parse/CalcitePlanner.java
2	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/MetaStoreSchemaInfo.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/stats/HiveRelMdUniqueKeys.java
4	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
==== HIVE-21949 ====
0	True	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/listbucketingpruner/LBPartitionProcFactory.java
2	False	llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/ContainerRunnerImpl.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/exec/Utilities.java
4	False	llap-tez/src/java/org/apache/hadoop/hive/llap/tezplugins/LlapTaskSchedulerService.java
==== HIVE-21957 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcInputFormat.java
1	False	hbase-handler/src/java/org/apache/hadoop/hive/hbase/HBaseStorageHandler.java
2	False	llap-server/src/java/org/apache/hadoop/hive/llap/io/encoded/OrcEncodedDataReader.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/metadata/Table.java
4	True	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/SubStructObjectInspector.java
==== HIVE-21963 ====
0	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
1	False	llap-server/src/java/org/apache/hadoop/hive/llap/io/encoded/OrcEncodedDataReader.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/RowContainer.java
3	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/SubStructObjectInspector.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/parse/BaseSemanticAnalyzer.java
==== HIVE-21966 ====
0	False	storage-api/src/java/org/apache/hadoop/hive/ql/exec/vector/DecimalColumnVector.java
1	True	ql/src/java/org/apache/hadoop/hive/ql/io/arrow/Deserializer.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/exec/vector/filesink/VectorFileSinkArrowOperator.java
3	False	storage-api/src/java/org/apache/hadoop/hive/ql/exec/vector/MultiValuedColumnVector.java
4	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/StandardMapObjectInspector.java
==== HIVE-21970 ====
0	True	llap-ext-client/src/java/org/apache/hadoop/hive/llap/LlapDump.java
1	False	llap-client/src/java/org/apache/hadoop/hive/llap/LlapBaseRecordReader.java
2	True	llap-tez/src/java/org/apache/hadoop/hive/llap/tezplugins/LlapTaskSchedulerService.java
3	False	llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/ContainerRunnerImpl.java
4	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
==== HIVE-21971 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/exec/FunctionRegistry.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/exec/ConditionalTask.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/HiveSubQRemoveRelBuilder.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/parse/type/TypeCheckProcFactory.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/Utilities.java
==== HIVE-21975 ====
0	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/SubStructObjectInspector.java
1	True	ql/src/java/org/apache/hadoop/hive/ql/exec/Utilities.java
2	True	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/primitive/JavaStringObjectInspector.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/parse/ParseUtils.java
==== HIVE-21976 ====
0	True	ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/PlanModifierForASTConv.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/plan/MergeJoinWork.java
2	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/SubStructObjectInspector.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/exec/MapJoinOperator.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/processors/CryptoProcessor.java
==== HIVE-21986 ====
0	False	service/src/java/org/apache/hive/service/cli/thrift/ThriftHttpServlet.java
1	True	service/src/resources/hive-webapps/static/css/bootstrap-theme.min.css
2	False	jdbc/src/java/org/apache/hive/jdbc/HttpRequestInterceptorBase.java
3	False	service-rpc/src/gen/thrift/gen-javabean/org/apache/hive/service/rpc/thrift/TByteColumn.java
4	False	jdbc/src/java/org/apache/hive/jdbc/HttpKerberosRequestInterceptor.java
==== HIVE-21992 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/exec/repl/ReplDumpWork.java
1	False	service/src/java/org/apache/hive/service/cli/operation/SQLOperation.java
2	True	ql/src/java/org/apache/hadoop/hive/ql/parse/repl/load/message/CreateFunctionHandler.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/Driver.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/parse/repl/load/message/TruncateTableHandler.java
==== HIVE-21999 ====
0	True	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
1	False	common/src/java/org/apache/hadoop/hive/conf/HiveConfUtil.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
3	False	service/src/java/org/apache/hive/service/server/HiveServer2.java
4	False	service/src/java/org/apache/hive/service/auth/TSetIpAddressProcessor.java
==== HIVE-22001 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/CompactorMR.java
1	True	llap-server/src/java/org/apache/hadoop/hive/llap/io/encoded/OrcEncodedDataReader.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/plan/MapWork.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/exec/tez/SplitGrouper.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/io/orc/RecordReaderImpl.java
==== HIVE-22003 ====
0	False	hbase-handler/src/java/org/apache/hadoop/hive/hbase/HBaseLazyObjectFactory.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/Driver.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/plan/ReduceWork.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/RemoveDynamicPruningBySize.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/ColumnPrunerProcFactory.java
==== HIVE-22007 ====
0	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspectorConverters.java
1	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/primitive/AbstractPrimitiveObjectInspector.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/VectorUDFDateDiffColCol.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/PlanModifierForASTConv.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/io/parquet/vector/VectorizedParquetRecordReader.java
==== HIVE-22008 ====
0	False	service/src/java/org/apache/hive/service/auth/TSetIpAddressProcessor.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/metadata/SessionHiveMetaStoreClient.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/processors/CryptoProcessor.java
3	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/SubStructObjectInspector.java
4	False	common/src/java/org/apache/hadoop/hive/ql/ErrorMsg.java
==== HIVE-22009 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/processors/CommandProcessorFactory.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/plan/ExplainWork.java
2	False	hbase-handler/src/java/org/apache/hadoop/hive/hbase/HBaseLazyObjectFactory.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/hooks/WriteEntity.java
4	False	common/src/java/org/apache/hadoop/hive/conf/HiveConf.java
==== HIVE-22033 ====
0	True	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/security/TokenStoreDelegationTokenSecretManager.java
1	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/security/ZooKeeperTokenStore.java
2	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/security/DBTokenStore.java
3	False	standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/security/DelegationTokenSecretManager.java
4	False	service/src/java/org/apache/hive/service/auth/TSetIpAddressProcessor.java
==== HIVE-22034 ====
0	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/parser/ExpressionTree.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/parse/QBMetaData.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/Driver.java
3	False	data/conf/hive-site.xml
4	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
==== HIVE-22035 ====
0	True	ql/src/java/org/apache/hadoop/hive/ql/util/HiveStrictManagedMigration.java
1	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
2	False	service/src/java/org/apache/hive/service/auth/TSetIpAddressProcessor.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
4	False	service/src/java/org/apache/hive/service/server/HiveServer2.java
==== HIVE-22042 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/GenMapRedUtils.java
1	False	standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/WriteEventInfo.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/hooks/NoOperatorReuseCheckerHook.java
3	False	streaming/src/java/org/apache/hive/streaming/PartitionInfo.java
4	False	metastore/src/java/org/apache/hadoop/hive/metastore/HiveClientCache.java
==== HIVE-22045 ====
0	True	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/SubStructObjectInspector.java
1	True	ql/src/java/org/apache/hadoop/hive/ql/exec/Utilities.java
2	True	ql/src/java/org/apache/hadoop/hive/ql/exec/JoinOperator.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/parse/BaseSemanticAnalyzer.java
4	False	service/src/java/org/apache/hive/service/cli/session/SessionManager.java
==== HIVE-22053 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/exec/Registry.java
1	True	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/parser/ExpressionTree.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/exec/FunctionRegistry.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/parse/repl/load/message/CreateFunctionHandler.java
==== HIVE-22054 ====
0	True	service/src/java/org/apache/hive/service/auth/TSetIpAddressProcessor.java
1	True	ql/src/java/org/apache/hadoop/hive/ql/hooks/WriteEntity.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/parse/QBJoinTree.java
3	False	standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/UnlockRequest.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/metadata/Hive.java
==== HIVE-22059 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/exec/Utilities.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/io/CombineHiveInputFormat.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/plan/MapWork.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/AbortTxnHandler.java
4	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/messaging/json/JSONCommitTxnMessage.java
==== HIVE-22072 ====
0	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/SubStructObjectInspector.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/parse/QBMetaData.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFUtils.java
4	True	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/parser/ExpressionTree.java
==== HIVE-22075 ====
0	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/ObjectStore.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/HiveJoinCommuteRule.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/Optimizer.java
3	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/SubStructObjectInspector.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/ppd/SyntheticJoinPredicate.java
==== HIVE-22076 ====
0	False	hcatalog/webhcat/svr/src/main/java/org/apache/hive/hcatalog/templeton/MaxByteArrayOutputStream.java
1	False	standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/Warehouse.java
2	False	druid-handler/src/java/org/apache/hadoop/hive/druid/DruidStorageHandler.java
3	False	serde/src/java/org/apache/hadoop/hive/serde2/thrift/ColumnBuffer.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/FunctionRegistry.java
==== HIVE-22080 ====
0	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
1	False	standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/utils/StringUtils.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/udf/UDFRepeat.java
3	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/primitive/PrimitiveObjectInspectorFactory.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/io/parquet/vector/VectorizedParquetRecordReader.java
==== HIVE-22092 ====
0	False	service/src/java/org/apache/hive/service/cli/operation/SQLOperation.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/Driver.java
2	False	data/conf/hive-site.xml
3	False	ql/src/java/org/apache/hadoop/hive/ql/plan/ReduceWork.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/reexec/ReExecDriver.java
==== HIVE-22099 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFMaskHash.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/exec/FunctionRegistry.java
2	False	storage-api/src/java/org/apache/hadoop/hive/serde2/io/DateWritable.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/VectorUDFMinuteDate.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/CastLongToDecimal.java
==== HIVE-22107 ====
0	False	hbase-handler/src/java/org/apache/hadoop/hive/hbase/HBaseLazyObjectFactory.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/IfExprCondExprCondExpr.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/exec/IConfigureJobConf.java
3	False	serde/src/java/org/apache/hadoop/hive/serde2/typeinfo/ListTypeInfo.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/CastTimestampToVarChar.java
==== HIVE-22109 ====
0	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
1	True	ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/metadata/SessionHiveMetaStoreClient.java
3	False	standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/UnknownPartitionException.java
4	False	service/src/java/org/apache/hive/service/server/HiveServer2.java
==== HIVE-22110 ====
0	False	standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/ReplChangeManager.java
1	True	ql/src/java/org/apache/hadoop/hive/ql/exec/repl/ReplDumpWork.java
2	True	ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/AlterPartitionHandler.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/parse/repl/load/message/TruncateTableHandler.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/CastStringToLong.java
==== HIVE-22113 ====
0	False	llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/TaskExecutorService.java
1	False	llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/ContainerRunnerImpl.java
2	True	llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/TaskRunnerCallable.java
3	False	llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/PriorityBlockingDeque.java
4	False	llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/LlapTaskReporter.java
==== HIVE-22114 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/metadata/Hive.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezTask.java
2	True	ql/src/java/org/apache/hadoop/hive/ql/exec/Utilities.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/Driver.java
4	False	service/src/java/org/apache/hive/service/cli/operation/SQLOperation.java
==== HIVE-22120 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/exec/AbstractMapJoinOperator.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/exec/MapJoinOperator.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/MapJoinEagerRowContainer.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/MapJoinTableContainer.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/ppr/OpWalkerCtx.java
==== HIVE-22121 ====
0	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/SubStructObjectInspector.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFSQCountCheck.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/Driver.java
3	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/parser/ExpressionTree.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/plan/MergeJoinWork.java
==== HIVE-22122 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/exec/Utilities.java
1	False	service/src/java/org/apache/hive/service/auth/TSetIpAddressProcessor.java
2	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
3	False	llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/ContainerRunnerImpl.java
4	False	llap-server/src/java/org/apache/hadoop/hive/llap/daemon/ContainerRunner.java
==== HIVE-22126 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/exec/Utilities.java
1	True	ql/pom.xml
2	True	pom.xml
3	False	data/conf/hive-site.xml
4	False	spark-client/src/main/java/org/apache/hive/spark/client/AbstractSparkClient.java
==== HIVE-22129 ====
0	False	jdbc/src/java/org/apache/hive/jdbc/HttpBasicAuthInterceptor.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/exec/Utilities.java
2	False	jdbc/src/java/org/apache/hive/jdbc/HivePreparedStatement.java
3	False	beeline/src/java/org/apache/hive/beeline/Commands.java
4	False	service/src/java/org/apache/hive/service/cli/operation/SQLOperation.java
==== HIVE-22134 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/exec/Utilities.java
1	True	metastore/scripts/upgrade/derby/hive-schema-2.0.0.derby.sql
2	False	llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/FunctionLocalizer.java
3	False	jdbc/src/java/org/apache/hive/jdbc/HivePreparedStatement.java
4	False	jdbc/src/java/org/apache/hive/jdbc/HiveStatement.java
==== HIVE-22140 ====
0	True	standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/utils/StringUtils.java
1	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
2	False	hcatalog/webhcat/svr/src/main/java/org/apache/hive/hcatalog/templeton/JobCallable.java
3	False	standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/conf/RangeValidator.java
4	False	common/pom.xml
==== HIVE-22148 ====
0	True	ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcInputFormat.java
1	False	hcatalog/core/src/main/java/org/apache/hive/hcatalog/mapreduce/FileOutputCommitterContainer.java
2	False	standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/security/DelegationTokenSecretManager.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/plan/MoveWork.java
4	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/security/ZooKeeperTokenStore.java
==== HIVE-22149 ====
0	False	standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/utils/StringUtils.java
1	False	common/src/java/org/apache/hadoop/hive/ql/parse/SemanticException.java
2	True	service/src/java/org/apache/hive/service/auth/TSetIpAddressProcessor.java
3	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
4	False	llap-server/src/java/org/apache/hadoop/hive/llap/cache/LowLevelCache.java
==== HIVE-22161 ====
0	True	hcatalog/webhcat/svr/src/main/java/org/apache/hive/hcatalog/templeton/MaxByteArrayOutputStream.java
1	False	common/src/java/org/apache/hadoop/hive/ql/parse/SemanticException.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/session/SessionState.java
3	False	llap-server/src/java/org/apache/hadoop/hive/llap/cache/LowLevelCache.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorFilterOperator.java
==== HIVE-22162 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/lockmgr/DbTxnManager.java
1	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/HiveAlterHandler.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/parse/SemiJoinBranchInfo.java
3	True	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/SubStructObjectInspector.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/stats/annotation/StatsRulesProcFactory.java
==== HIVE-22163 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/stats/annotation/StatsRulesProcFactory.java
1	True	ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFUtils.java
2	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
3	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/parser/ExpressionTree.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/BytesBytesMultiHashMap.java
==== HIVE-22164 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/plan/MergeJoinWork.java
1	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/primitive/AbstractPrimitiveObjectInspector.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/HiveCalciteUtil.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/exec/ReduceSinkOperator.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/ObjectContainer.java
==== HIVE-22165 ====
0	True	service/src/java/org/apache/hive/service/cli/session/HiveSession.java
1	False	service/src/java/org/apache/hive/service/cli/thrift/ThriftCLIService.java
2	False	common/src/java/org/apache/hadoop/hive/common/metrics/common/MetricsVariable.java
3	False	service/src/java/org/apache/hive/service/cli/session/SessionManager.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezSessionPool.java
==== HIVE-22169 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/exec/tez/SplitGrouper.java
1	True	ql/src/java/org/apache/hadoop/hive/ql/exec/Utilities.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezSessionPoolManager.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
4	False	jdbc-handler/src/main/java/org/apache/hive/storage/jdbc/JdbcInputFormat.java
==== HIVE-22170 ====
0	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/primitive/WritableConstantDateObjectInspector.java
1	False	hcatalog/hcatalog-pig-adapter/src/main/java/org/apache/hive/hcatalog/pig/PigHCatUtil.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFTimestamp.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/VectorUDFUnixTimeStampDate.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorBatchDebug.java
==== HIVE-22175 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/Driver.java
1	False	service/src/java/org/apache/hive/service/auth/TSetIpAddressProcessor.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/plan/MoveWork.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/io/CombineHiveInputFormat.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
==== HIVE-22178 ====
0	False	hbase-handler/src/java/org/apache/hadoop/hive/hbase/HBaseLazyObjectFactory.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/io/parquet/ParquetRecordReaderBase.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/io/parquet/vector/VectorizedParquetRecordReader.java
3	False	serde/src/java/org/apache/hadoop/hive/serde2/lazybinary/LazyBinaryHiveDecimal.java
4	False	serde/src/java/org/apache/hadoop/hive/serde2/typeinfo/ListTypeInfo.java
==== HIVE-22197 ====
0	True	ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorAppMasterEventOperator.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorMapJoinOperator.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/plan/MergeJoinWork.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/exec/MapJoinOperator.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/metadata/Hive.java
==== HIVE-22200 ====
0	True	ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/HivePartitionPruneRule.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/udf/UDFAscii.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/plan/DynamicPartitionCtx.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFOPMod.java
4	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspectorUtils.java
==== HIVE-22201 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/MapJoinTableContainerSerDe.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/exec/spark/SmallTableCache.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/MapJoinTableContainer.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/parse/TezCompiler.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/HashTableDummyOperator.java
==== HIVE-22207 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/Driver.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/parse/GenTezWork.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/exec/Utilities.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/MergeJoinProc.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/plan/MoveWork.java
==== HIVE-22208 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/Driver.java
1	False	common/src/java/org/apache/hadoop/hive/ql/ErrorMsg.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/exec/NumericUDAFEvaluatorResolver.java
